Location,MachineName,HashRate(24h),EstRevenue(30d),EstProfit(30d),Price,NumMachines,Cost,URL
KY-LF,Bitmain S19j Pro+ 120T,110.36 TH/s,0.00238,-0.00093,0.02945,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1455
OK-GX,Bitmain S19 XP 141T,0.143 PH/s,0.0036060000000000003,0.0007289999999999999,0.0477,10,0.0028770000000000002,https://marketplace.blockwaresolutions.com/detail/1439
KY-LF,Bitmain S19j Pro 104T,96.33 TH/s,0.00205,-0.00098,0.01386,1,0.00303,https://marketplace.blockwaresolutions.com/detail/1425
KY-BTK,Bitmain S19 XP 141T,143.3 TH/s,0.00361,0.00061,0.19999,1,0.003,https://marketplace.blockwaresolutions.com/detail/1400
KY-BTK,Bitmain S19 XP 141T,143.19 TH/s,0.00361,0.00061,0.17777,1,0.003,https://marketplace.blockwaresolutions.com/detail/1399
KY-BTK,Bitmain S19 XP 141T,143.2 TH/s,0.00361,0.00061,0.19,1,0.003,https://marketplace.blockwaresolutions.com/detail/1398
KY-BTK,Bitmain S19 XP 141T,142.94 TH/s,0.00361,0.00061,0.17,1,0.003,https://marketplace.blockwaresolutions.com/detail/1397
KY-LF,Bitmain S19 90T,0.08 PH/s,0.001649375,-0.001558125,0.01039375,16,0.0032075000000000003,https://marketplace.blockwaresolutions.com/detail/1396
KY-BTK,Bitmain S19k Pro 115T,117.31 TH/s,0.00294,0.00022,0.04417,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1395
KY-BTK,Bitmain S19k Pro 115T,117.54 TH/s,0.00294,0.00022,0.04296,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1394
KY-BTK,Bitmain S19k Pro 115T,117.27 TH/s,0.00294,0.00022,0.04313,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1393
KY-BTK,Bitmain S19k Pro 115T,117.42 TH/s,0.00294,0.00022,0.04331,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1392
KY-RH,Bitmain S19 XP 134T,113.05 TH/s,0.00286,2e-05,0.11111,1,0.00284,https://marketplace.blockwaresolutions.com/detail/1391
KY-LF,Bitmain S19 XP 134T,126.64 TH/s,0.00286,2e-05,0.11111,1,0.00284,https://marketplace.blockwaresolutions.com/detail/1390
KY-LF,Bitmain T19 84T,84.87 TH/s,0.00215,-0.00096,0.0399,1,0.00311,https://marketplace.blockwaresolutions.com/detail/1389
KY-LF,Whatsminer M31S+ 84T,77.12 TH/s,0.00216,-0.00116,0.0349,1,0.00332,https://marketplace.blockwaresolutions.com/detail/1388
KY-LF,Whatsminer M31S+ 84T,62.41 TH/s,0.00215,-0.00117,0.0349,1,0.00332,https://marketplace.blockwaresolutions.com/detail/1387
KY-LF,Whatsminer M31S+ 84T,77.34 TH/s,0.00217,-0.00115,0.0349,1,0.00332,https://marketplace.blockwaresolutions.com/detail/1386
KY-LF,Bitmain S19j Pro 96T,88.76 TH/s,0.00184,-0.00095,0.0799,1,0.00279,https://marketplace.blockwaresolutions.com/detail/1384
KY-LF,Bitmain S19j Pro 96T,89.01 TH/s,0.00184,-0.00095,0.0799,1,0.00279,https://marketplace.blockwaresolutions.com/detail/1383
KY-LF,Bitmain S19k Pro 120T,121.55 TH/s,0.00307,0.00034,0.03407,1,0.00273,https://marketplace.blockwaresolutions.com/detail/1381
KY-LF,Whatsminer M50 120T,108.35 TH/s,0.00308,-0.00018,0.02165,1,0.00326,https://marketplace.blockwaresolutions.com/detail/1374
KY-LF,Whatsminer M50 120T,107.4 TH/s,0.0031,-0.00016,0.02252,1,0.00326,https://marketplace.blockwaresolutions.com/detail/1373
KY-LF,Whatsminer M50S 128T,117.8 TH/s,0.00327,4e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1361
KY-LF,Whatsminer M50S 128T,118.28 TH/s,0.00329,5e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1356
KY-LF,Whatsminer M50S 128T,116.51 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1354
KY-LF,Whatsminer M50S 128T,116.27 TH/s,0.00328,4e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1353
KY-LF,Whatsminer M50S 128T,117.35 TH/s,0.0033,6e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1352
KY-LF,Whatsminer M50S 128T,118.66 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1350
KY-LF,Whatsminer M50S 128T,117.29 TH/s,0.00328,4e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1349
KY-LF,Whatsminer M50S 128T,117.87 TH/s,0.0033,7e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1348
KY-LF,Whatsminer M50S 128T,117.37 TH/s,0.0033,7e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1347
KY-LF,Whatsminer M50S 128T,117.48 TH/s,0.00329,5e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1346
KY-LF,Whatsminer M50S 128T,117.36 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1345
KY-LF,Whatsminer M50S 128T,118.47 TH/s,0.0033,6e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1344
KY-LF,Whatsminer M50S 128T,117.43 TH/s,0.0033,6e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1343
KY-LF,Whatsminer M50S 128T,117.55 TH/s,0.00328,5e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1342
KY-LF,Whatsminer M50S 128T,118.79 TH/s,0.00328,5e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1340
KY-LF,Whatsminer M50S 128T,119.22 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1339
KY-LF,Whatsminer M50S 128T,118.82 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1338
KY-LF,Whatsminer M50S 128T,118.67 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1337
KY-LF,Whatsminer M50S 128T,117.48 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1336
KY-LF,Whatsminer M50S 128T,117.93 TH/s,0.00328,4e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1335
KY-LF,Whatsminer M50S 128T,118.47 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1334
KY-LF,Whatsminer M50S 128T,118.06 TH/s,0.00329,5e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1333
KY-LF,Whatsminer M50S 128T,119.54 TH/s,0.00328,5e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1332
KY-LF,Whatsminer M50S 128T,117.61 TH/s,0.00329,5e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1330
KY-LF,Whatsminer M50S 128T,117.56 TH/s,0.0033,6e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1329
KY-LF,Whatsminer M50S 128T,118.58 TH/s,0.00327,4e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1327
KY-LF,Whatsminer M50S 128T,119.8 TH/s,0.0033,7e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1326
KY-LF,Whatsminer M50S 128T,118.29 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1325
KY-LF,Whatsminer M50S 128T,116.01 TH/s,0.00327,4e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1324
KY-LF,Whatsminer M50S 128T,117.63 TH/s,0.00329,6e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1323
KY-LF,Whatsminer M50S 128T,118.94 TH/s,0.00328,4e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1322
KY-LF,Whatsminer M50S 128T,119.01 TH/s,0.00328,5e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1321
KY-LF,Whatsminer M50S 128T,118.58 TH/s,0.0033,7e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1320
KY-LF,Whatsminer M50S 128T,119.67 TH/s,0.0033,6e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1319
KY-LF,Whatsminer M50S 128T,119.47 TH/s,0.00327,4e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1318
KY-LF,Whatsminer M50S 128T,119.37 TH/s,0.00329,5e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1317
KY-LF,Whatsminer M50S 128T,118.92 TH/s,0.0033,7e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1316
KY-LF,Whatsminer M50S 128T,118.11 TH/s,0.00323,-0.0,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1315
